dataset,attack,layer,acc_clean,acc_adv,acc_drop,evasion,f1_before,f1_after,tpr_before,tpr_after,fpr_before,fpr_after,auc_before,auc_after,ap_before,ap_after,f1_drop,auc_drop,precision_drop,recall_drop,drop_severity,l2_mean,l2_max,linf_mean,linf_max,pct_unchanged,n_truly_fooled,n_pred_changed,pct_pred_changed,pct_truly_fooled
cicids2017,PGD  ε=0.20,soar,0.9844,0.8891,0.0953,0.2326,0.9842,0.8662,0.9554,0.7228,0.0034,0.0274,1.0,0.9905,1.0,0.8903,0.118,0.0095,0.0778,0.0953,CRITICAL,1.7424612045288086,1.787239670753479,0.19981949031352997,0.1998201608657837,0.0,2881,3055,0.1075,0.1014
cicids2017,PGD  ε=0.30,ingestion,0.9557,0.7841,0.1716,0.3566,0.9424,0.7619,0.8983,0.5417,0.0053,0.0294,1.0,0.9877,1.0,0.6598,0.1805,0.0123,0.1724,0.1716,CRITICAL,2.609785318374634,2.681741952896118,0.29982805252075195,0.29983097314834595,0.0,5185,5660,0.1992,0.1825
cicids2017,PGD  ε=0.30,triage,0.9999,0.8281,0.1718,0.3225,0.9999,0.8104,0.9998,0.6773,0.0,0.0526,1.0,0.9693,1.0,0.7455,0.1895,0.0307,0.1805,0.1718,CRITICAL,2.607901096343994,2.6798059940338135,0.29961150884628296,0.29961445927619934,0.0,4882,4883,0.1719,0.1719
cicids2017,PGD  ε=0.30,detection,0.9997,0.6513,0.3484,0.7934,0.9997,0.6506,0.9993,0.2059,0.0,0.0395,1.0,0.9627,1.0,0.3417,0.3491,0.0373,0.3455,0.3484,CRITICAL,2.611283540725708,2.6832821369171143,0.3000001311302185,0.3000030517578125,0.0,9897,9901,0.3485,0.3484
cicids2017,PGD  ε=0.30,siem,0.9558,0.7823,0.1735,0.3583,0.9427,0.7601,0.8987,0.5404,0.0053,0.0294,1.0,0.9872,1.0,0.6539,0.1826,0.0128,0.1768,0.1735,CRITICAL,2.6104626655578613,2.6824381351470947,0.29990577697753906,0.29990869760513306,0.0,5267,5757,0.2027,0.1854
cicids2017,PGD  ε=0.30,soar,0.9844,0.8457,0.1387,0.3339,0.9842,0.8224,0.9554,0.6215,0.0034,0.0382,1.0,0.9702,1.0,0.7048,0.1618,0.0298,0.1261,0.1387,CRITICAL,2.6089260578155518,2.680859327316284,0.29972922801971436,0.29973217844963074,0.0,4126,4310,0.1517,0.1452
cicids2017,MI-FGSM ε=0.10,ingestion,0.9557,0.8975,0.0582,0.1044,0.9424,0.8851,0.8983,0.7939,0.0053,0.0137,1.0,0.9973,1.0,0.9384,0.0573,0.0027,0.0515,0.0582,HIGH,0.8629450798034668,0.8939141035079956,0.09994268417358398,0.099945068359375,0.0,2445,3432,0.1208,0.0861
cicids2017,MI-FGSM ε=0.10,triage,0.9999,0.9244,0.0755,0.1582,0.9999,0.9153,0.9998,0.8416,0.0,0.0238,1.0,0.997,1.0,0.9616,0.0846,0.003,0.0686,0.0755,HIGH,0.8623219132423401,0.8932684659957886,0.09987048804759979,0.09987092018127441,0.0,2147,2149,0.0757,0.0756
cicids2017,MI-FGSM ε=0.10,detection,0.9997,0.8406,0.1591,0.4485,0.9997,0.8362,0.9993,0.5508,0.0,0.0166,1.0,0.9947,1.0,0.6522,0.1635,0.0053,0.1471,0.1591,CRITICAL,0.863440215587616,0.8944268226623535,0.10000002384185791,0.10000038146972656,0.0,4518,4518,0.159,0.159
cicids2017,MI-FGSM ε=0.10,siem,0.9558,0.8884,0.0674,0.1144,0.9427,0.8736,0.8987,0.7843,0.0053,0.0158,1.0,0.9971,1.0,0.939,0.0691,0.0029,0.0589,0.0674,HIGH,0.8631683588027954,0.8941454887390137,0.0999685674905777,0.09996896982192993,0.0,2694,3647,0.1284,0.0948
cicids2017,MI-FGSM ε=0.10,soar,0.9844,0.9152,0.0692,0.1669,0.9842,0.8954,0.9554,0.7885,0.0034,0.0211,1.0,0.998,1.0,0.9872,0.0888,0.002,0.0548,0.0692,HIGH,0.8626604080200195,0.8936194181442261,0.09990974515676498,0.09991073608398438,0.0,2154,2342,0.0824,0.0758
cicids2017,MI-FGSM ε=0.20,ingestion,0.9557,0.8186,0.1371,0.2913,0.9424,0.7997,0.8983,0.607,0.0053,0.0249,1.0,0.9934,1.0,0.7941,0.1427,0.0066,0.1257,0.1371,CRITICAL,1.7129199504852295,1.7878286838531494,0.19988536834716797,0.19988632202148438,0.0,4306,4955,0.1744,0.1516
cicids2017,MI-FGSM ε=0.20,triage,0.9999,0.8782,0.1217,0.2459,0.9999,0.8582,0.9998,0.7539,0.0,0.0385,1.0,0.99,1.0,0.8849,0.1417,0.01,0.1244,0.1217,CRITICAL,1.7116833925247192,1.786537528038025,0.19974097609519958,0.19974170625209808,0.0,3459,3461,0.1218,0.1218
cicids2017,MI-FGSM ε=0.20,detection,0.9997,0.7221,0.2776,0.6824,0.9997,0.7204,0.9993,0.3169,0.0,0.0292,1.0,0.9803,1.0,0.4234,0.2793,0.0197,0.2762,0.2776,CRITICAL,1.7139030694961548,1.7888537645339966,0.20000004768371582,0.20000076293945312,0.0,7884,7888,0.2777,0.2775
cicids2017,MI-FGSM ε=0.20,siem,0.9558,0.8171,0.1387,0.2824,0.9427,0.7965,0.8987,0.6163,0.0053,0.0257,1.0,0.9934,1.0,0.8085,0.1462,0.0066,0.1228,0.1387,CRITICAL,1.713363766670227,1.788291573524475,0.1999371200799942,0.1999378651380539,0.0,4348,4983,0.1754,0.1531
cicids2017,MI-FGSM ε=0.20,soar,0.9844,0.888,0.0964,0.2354,0.9842,0.8646,0.9554,0.72,0.0034,0.0279,1.0,0.9907,1.0,0.8955,0.1196,0.0093,0.0795,0.0964,CRITICAL,1.7123552560806274,1.787238359451294,0.19981946051120758,0.1998201608657837,0.0,2931,3123,0.1099,0.1032
cicids2017,MI-FGSM ε=0.30,ingestion,0.9557,0.7888,0.1669,0.3493,0.9424,0.7674,0.8983,0.549,0.0053,0.0297,1.0,0.9889,1.0,0.6825,0.175,0.0111,0.1668,0.1669,CRITICAL,2.5537900924682617,2.68174147605896,0.2998279929161072,0.29982829093933105,0.0,5077,5652,0.199,0.1787
cicids2017,MI-FGSM ε=0.30,triage,0.9999,0.8325,0.1674,0.3196,0.9999,0.8134,0.9998,0.6802,0.0,0.0528,1.0,0.971,1.0,0.7562,0.1865,0.029,0.1799,0.1674,CRITICAL,2.5519464015960693,2.6798055171966553,0.2996114492416382,0.29961204528808594,0.0,4755,4755,0.1674,0.1674
